Algorithm,Cycle,Waypoint,Goal_X,Goal_Y,Status,Time_Seconds,Path_Length_Meters,Replans,Notes
A*,10,4,-1.97,-2.4,FAILED,38.48,0.00,0,
Hybrid,1,1,3.06,1.24,SUCCEEDED,13.85,3.85,13,
Hybrid,1,2,4.96,0.0,FAILED,11.57,0.71,11,
Hybrid,2,1,3.06,1.24,SUCCEEDED,11.14,3.27,10,
Hybrid,2,2,4.96,0.0,FAILED,259.12,1.38,194,TIMEOUT after 300s
Hybrid,3,1,3.06,1.24,SUCCEEDED,12.65,3.30,12,
Hybrid,3,2,4.96,0.0,FAILED,16.65,0.32,0,
Hybrid,3,3,-2.53,-2.44,FAILED,4.19,0.00,0,
Hybrid,4,1,3.06,1.24,SUCCEEDED,12.55,3.27,12,
Hybrid,4,2,4.96,0.0,FAILED,23.20,0.77,1,
Hybrid,4,3,-2.53,-2.44,FAILED,24.57,6.06,20,
Hybrid,4,4,-1.97,-2.4,FAILED,0.02,0.00,0,
Hybrid,5,1,3.06,1.24,SUCCEEDED,12.05,3.29,11,
Hybrid,5,2,4.96,0.0,SUCCEEDED,35.74,4.95,18,
Hybrid,5,3,-2.53,-2.44,FAILED,12.39,2.30,11,
Hybrid,5,4,-1.97,-2.4,FAILED,0.02,0.00,0,
Hybrid,6,1,3.06,1.24,SUCCEEDED,12.05,3.25,11,
Hybrid,6,2,4.96,0.0,FAILED,27.56,0.91,0,
Hybrid,6,3,-2.53,-2.44,FAILED,18.73,0.32,0,
Hybrid,6,4,-1.97,-2.4,FAILED,21.54,0.39,0,
Hybrid,7,1,3.06,1.24,SUCCEEDED,12.59,3.29,12,
Hybrid,7,2,4.96,0.0,FAILED,26.78,0.51,1,
Hybrid,7,3,-2.53,-2.44,FAILED,20.56,0.43,0,
Hybrid,7,4,-1.97,-2.4,FAILED,22.36,0.73,1,
Hybrid,8,1,3.06,1.24,SUCCEEDED,12.03,3.28,11,
Hybrid,8,2,4.96,0.0,SUCCEEDED,18.89,4.43,17,
Hybrid,8,3,-2.53,-2.44,FAILED,12.39,2.30,11,
Hybrid,8,4,-1.97,-2.4,FAILED,0.03,0.00,0,
Hybrid,9,1,3.06,1.24,SUCCEEDED,15.97,3.27,15,
Hybrid,9,2,4.96,0.0,FAILED,29.19,0.44,0,
Hybrid,9,3,-2.53,-2.44,FAILED,28.24,0.32,0,
Hybrid,9,4,-1.97,-2.4,FAILED,19.04,0.32,0,
Hybrid,10,1,3.06,1.24,SUCCEEDED,12.25,3.28,11,
Hybrid,10,2,4.96,0.0,SUCCEEDED,42.37,5.12,23,
Hybrid,10,3,-2.53,-2.44,FAILED,12.39,2.34,11,
Hybrid,10,4,-1.97,-2.4,FAILED,0.02,0.00,0,
